nombre,edad,lugar_registro,marca_auto,modelo_auto,año_modelo,autonomia_km,tipo_carga,fecha_registro,version_software,baterias_recicladas
Sara Pinto Vilar,49,Lugo,Kia,Niro EV,2024,228,Ultra Rápida,2024-09-19,10.6.9,Sí
Blas Costa Marín,54,Albacete,Ford,F-150 Lightning,2022,347,Rápida,2024-07-23,2.0.9,Sí
Federico Sierra Sandoval,33,León,Volkswagen,ID.3,2019,220,Lenta,2024-08-01,2.6.6,No
Lisandro Seco Morales,45,Lleida,Kia,EV6,2019,441,Lenta,2024-02-10,10.3.7,No
Rosalinda Estrada Pellicer,40,Cáceres,Tesla,Model Y,2019,267,Lenta,2024-09-28,5.1.6,No
Anabel Molins Valcárcel,72,Ourense,Chevrolet,Bolt EV,2019,340,Rápida,2025-02-16,4.0.8,No
Nydia Guillen-Arroyo,66,Toledo,Hyundai,Ioniq 5,2022,409,Lenta,2024-02-22,2.6.9,No
Trinidad Montserrat Canals Trillo,37,Guadalajara,Chevrolet,Bolt EV,2020,550,Rápida,2024-12-31,6.6.2,Sí
Margarita Lasa Barriga,19,Baleares,Kia,Niro EV,2019,418,Rápida,2023-07-02,10.7.2,No
Alejandra Fajardo-Saez,50,Palencia,Volkswagen,ID.3,2021,493,Lenta,2025-04-10,3.3.0,No
Amanda Mateo Pizarro,67,Ourense,Hyundai,Ioniq 5,2021,536,Rápida,2023-06-09,8.7.1,Sí
Itziar Aitana Heras Costa,46,Palencia,Hyundai,Kona Electric,2024,518,Lenta,2022-05-10,8.9.9,No
Alejandro Bernat Gomila,42,Córdoba,BMW,i4,2019,227,Ultra Rápida,2023-09-03,9.0.6,Sí
Juanita Montserrat Duran Chico,46,Tarragona,BMW,i3,2024,495,Rápida,2024-04-26,9.3.8,Sí
Dan Vara-Zabala,77,Córdoba,Ford,Mustang Mach-E,2020,480,Lenta,2023-10-21,10.7.5,Sí
Nicolasa Cueto Blanco,59,Salamanca,Nissan,Ariya,2024,175,Rápida,2023-05-31,3.3.7,Sí
Félix Calleja Verdejo,73,Asturias,BMW,iX,2021,391,Ultra Rápida,2023-10-03,5.3.3,No
María Ángeles Hilda Valls Valero,58,Murcia,Volkswagen,ID.4,2020,396,Rápida,2023-06-03,3.0.8,Sí
Chus Isaac Castell Campos,55,Cáceres,Volkswagen,ID.4,2019,549,Rápida,2022-10-07,6.4.9,No
Cloe de Garzón,30,Álava,Volkswagen,ID.4,2021,152,Rápida,2022-05-08,5.7.0,No
Flor Irma Porcel Alcalá,79,La Rioja,BMW,iX,2025,479,Lenta,2024-11-03,3.1.7,No
Rolando Company Gomis,60,Granada,Audi,Q4 e-tron,2022,306,Rápida,2024-03-18,2.9.7,Sí
Hermenegildo Lorenzo Vallés Mora,30,Huelva,Ford,F-150 Lightning,2024,452,Rápida,2023-09-24,9.8.4,No
Toño Velázquez Falcó,60,Asturias,Tesla,Model 3,2023,588,Rápida,2023-01-08,8.2.8,No
Emilia Vázquez Mayo,24,Cuenca,BMW,iX,2024,242,Lenta,2025-03-15,7.8.4,Sí
Edgardo Vallés Velasco,37,Pontevedra,Audi,Q4 e-tron,2019,355,Ultra Rápida,2023-04-14,8.4.6,No
Roxana Cándida Silva Álamo,66,Cáceres,Chevrolet,Bolt EV,2025,265,Ultra Rápida,2025-04-05,4.7.2,No
Calista Téllez Porras,26,La Rioja,Chevrolet,Bolt EV,2021,228,Lenta,2024-07-23,7.3.5,No
Damián Lamas-Valencia,33,Las Palmas,Tesla,Model 3,2021,311,Ultra Rápida,2025-01-10,1.3.5,Sí
Néstor Fuentes Torrents,52,Valladolid,Audi,Q4 e-tron,2021,540,Ultra Rápida,2025-01-02,7.5.3,No
Fanny Rueda Jara,59,Tarragona,Hyundai,Kona Electric,2021,365,Ultra Rápida,2022-09-05,4.7.6,No
Gabriela Ávila Daza,55,Cuenca,Tesla,Model X,2024,345,Ultra Rápida,2023-09-03,7.1.1,Sí
Patricia Domínguez Hernandez,52,Badajoz,Ford,F-150 Lightning,2018,555,Rápida,2022-07-21,9.6.7,Sí
María Manuela de Solís,49,Málaga,Nissan,Leaf,2024,516,Rápida,2024-08-07,3.2.8,Sí
Jacinto Corbacho Torrecilla,38,Santa Cruz de Tenerife,Kia,EV6,2024,465,Rápida,2024-07-13,10.9.8,Sí
Chita Martí Ibarra,59,Ciudad,Ford,Mustang Mach-E,2024,227,Ultra Rápida,2023-03-03,1.9.9,No
Angelino Evaristo Tormo Merino,31,Murcia,Chevrolet,Bolt EV,2023,504,Ultra Rápida,2024-05-18,8.2.9,Sí
Almudena del Pujol,18,Teruel,Audi,Q4 e-tron,2018,385,Lenta,2023-09-27,3.7.0,Sí
Luis Ángel Emiliano Daza Mateo,28,Cantabria,Kia,Niro EV,2019,457,Lenta,2024-09-21,9.2.3,No
Maximino Nadal,48,Cuenca,Ford,Mustang Mach-E,2024,226,Rápida,2025-01-02,5.6.4,Sí
Joel Salvador Samper,75,Santa Cruz de Tenerife,Chevrolet,Bolt EUV,2023,379,Rápida,2023-11-24,7.8.9,No
Vasco de Casas,63,La Rioja,Nissan,Leaf,2025,233,Rápida,2023-06-08,8.8.4,No
Eufemia Lerma Millán,21,Álava,Chevrolet,Bolt EV,2023,261,Rápida,2024-09-01,7.0.2,Sí
Oriana Bayo-Feliu,25,Burgos,Ford,Mustang Mach-E,2020,151,Rápida,2025-04-25,3.9.6,No
Gabriela Chaves Gibert,40,Ceuta,Ford,Mustang Mach-E,2021,386,Rápida,2023-02-01,5.0.3,No
Paula Coloma Lerma,23,Zaragoza,Chevrolet,Bolt EV,2025,310,Rápida,2024-07-29,9.4.7,Sí
Lara Ródenas Cruz,31,Navarra,Nissan,Ariya,2025,350,Lenta,2023-07-27,5.5.0,Sí
María Cristina Cañas Ortuño,23,Ávila,Ford,Mustang Mach-E,2022,391,Ultra Rápida,2023-10-14,8.7.8,Sí
Edgardo Coll,40,Lleida,BMW,i4,2020,327,Ultra Rápida,2022-06-06,4.5.6,Sí
Teófila Amelia Quintana Valcárcel,32,Pontevedra,Ford,Mustang Mach-E,2021,444,Lenta,2022-10-08,4.7.9,No
Ani Cardona Aller,56,La Coruña,Audi,e-tron,2025,507,Ultra Rápida,2024-12-16,8.3.2,No
Gustavo Gilabert Cárdenas,22,León,Hyundai,Ioniq 5,2019,194,Lenta,2023-11-18,9.1.5,No
Almudena Pera-Vega,68,Lleida,Audi,e-tron,2022,534,Ultra Rápida,2024-04-06,7.5.6,Sí
Hernán Blas Pineda Saldaña,80,Cantabria,Hyundai,Ioniq 5,2019,476,Rápida,2022-12-15,5.7.4,Sí
Alejandra Bueno Mulet,58,Palencia,Ford,F-150 Lightning,2018,437,Lenta,2022-07-28,5.1.5,Sí
Asunción Porcel Girón,68,Navarra,Nissan,Leaf,2018,162,Lenta,2023-09-13,9.8.1,Sí
Melania Luisa Vargas Zorrilla,56,Albacete,Kia,Niro EV,2019,534,Ultra Rápida,2024-09-19,7.3.7,Sí
Máximo Coloma Alarcón,36,Baleares,Kia,EV6,2021,600,Lenta,2022-06-30,7.9.3,No
Dulce Rosa Gabaldón Llobet,80,Zaragoza,Audi,Q4 e-tron,2023,596,Ultra Rápida,2022-06-25,3.4.4,No
Marcia Parra Llorente,36,Las Palmas,Ford,F-150 Lightning,2023,560,Lenta,2022-10-02,10.6.8,Sí
Vera Alondra Gual Pera,56,Tarragona,Hyundai,Ioniq 5,2022,461,Rápida,2024-06-19,10.6.3,Sí
Edelmiro Perales Almeida,79,Ciudad,Chevrolet,Bolt EUV,2018,270,Ultra Rápida,2024-03-14,8.6.4,No
Arturo Arnau Santamaria,56,Asturias,BMW,i3,2021,586,Lenta,2023-12-24,6.8.6,No
Nicolás Álvaro Amor Sáez,49,Guadalajara,Kia,EV6,2019,404,Rápida,2022-05-18,9.4.0,Sí
Soledad Oliver Galiano,43,Sevilla,Hyundai,Kona Electric,2024,427,Ultra Rápida,2023-04-06,8.1.0,No
Quirino Dani Montesinos Pellicer,61,Lleida,Audi,e-tron,2020,494,Rápida,2025-03-28,8.4.6,No
Felipa Barroso-Sánchez,21,Segovia,BMW,i4,2020,343,Lenta,2022-11-25,8.6.6,Sí
Octavia Chico Zorrilla,56,Ourense,Ford,Mustang Mach-E,2022,395,Ultra Rápida,2023-07-15,8.6.1,Sí
Modesto Torrents Alarcón,56,Córdoba,Audi,e-tron,2024,546,Ultra Rápida,2022-10-29,2.9.4,No
Edgardo Ponce Serna,37,Ávila,Chevrolet,Bolt EUV,2019,436,Ultra Rápida,2022-10-31,9.9.9,Sí
Beatriz Cámara-Bueno,65,Badajoz,Ford,F-150 Lightning,2018,530,Ultra Rápida,2022-05-08,1.8.7,Sí
Chita Oliva Ochoa,77,Córdoba,BMW,i3,2025,466,Rápida,2024-02-18,4.2.8,Sí
Tomasa Ballesteros,73,Lleida,Nissan,Ariya,2021,450,Rápida,2024-07-02,7.7.5,No
Marcio Teodosio Cantón Gonzalez,37,Lugo,Nissan,Leaf,2019,521,Ultra Rápida,2024-05-16,7.4.8,No
Agustín Barrena Terrón,77,Barcelona,Audi,Q4 e-tron,2021,300,Lenta,2024-01-26,9.4.1,No
Macaria Cabello Pont,66,Cádiz,Volkswagen,ID.3,2022,289,Lenta,2024-01-31,3.4.6,No
Selena Pizarro Riba,58,Valladolid,BMW,i4,2024,557,Rápida,2023-06-12,4.0.8,No
Anselmo Aguiló Bueno,53,Cádiz,Nissan,Ariya,2022,415,Ultra Rápida,2023-01-12,4.8.8,No
Yéssica Chaparro Medina,61,Albacete,Hyundai,Ioniq 5,2021,489,Lenta,2023-05-29,2.7.5,Sí
Elisabet Ramos Sevillano,26,Valencia,Volkswagen,ID.4,2023,334,Rápida,2023-05-21,2.2.6,No
Édgar Rueda,58,Córdoba,Volkswagen,ID.3,2022,244,Lenta,2025-01-07,3.6.0,Sí
Carlito Ripoll Martín,29,Albacete,Ford,Mustang Mach-E,2021,297,Ultra Rápida,2023-01-29,3.1.3,Sí
Sara Goñi Pujadas,32,Ávila,Hyundai,Ioniq 5,2018,164,Ultra Rápida,2024-09-13,8.3.2,Sí
Primitivo Asenjo Armas,50,Guipúzcoa,Volkswagen,ID.4,2021,392,Ultra Rápida,2023-07-01,4.9.2,No
Nadia Cobos Tur,36,Cádiz,Chevrolet,Bolt EV,2020,445,Ultra Rápida,2023-01-05,10.5.5,Sí
Isaías Hernando,48,Santa Cruz de Tenerife,BMW,i4,2019,302,Lenta,2023-06-10,1.1.2,No
Odalys Quintero Losada,44,Navarra,Hyundai,Ioniq 5,2020,409,Lenta,2023-04-06,8.6.1,No
Almudena Giménez Albero,77,Toledo,Tesla,Model X,2020,203,Ultra Rápida,2023-02-05,6.6.3,Sí
Jacobo Hernando Fuster Iglesia,33,León,BMW,i3,2019,579,Ultra Rápida,2023-03-07,3.6.7,Sí
Isidoro Domínguez Cisneros,49,Las Palmas,Kia,EV6,2025,356,Lenta,2024-03-30,8.3.0,Sí
María Luisa Segovia Ribera,25,Sevilla,Chevrolet,Bolt EUV,2024,327,Ultra Rápida,2022-06-19,5.5.4,No
Hernán Cabanillas-Milla,71,Ávila,BMW,iX,2025,322,Lenta,2022-12-09,8.8.4,Sí
Renato Salvador Flor Tenorio,25,Ávila,BMW,i4,2023,285,Lenta,2024-12-16,5.6.1,Sí
Florencia Badía,59,León,BMW,i4,2018,505,Ultra Rápida,2024-11-03,10.0.2,Sí
Paola Bartolomé Gutiérrez,39,Zaragoza,Tesla,Model Y,2021,362,Ultra Rápida,2023-03-11,5.7.8,Sí
Haroldo Lluch,71,Granada,Ford,F-150 Lightning,2023,334,Rápida,2024-10-20,5.5.3,No
Pedro Cid Merino,43,Granada,Ford,Mustang Mach-E,2019,254,Ultra Rápida,2025-01-19,10.7.9,No
Fulgencio Villena,53,Alicante,Ford,F-150 Lightning,2022,366,Lenta,2022-09-25,9.1.8,Sí
Ciro Cózar Roig,40,Almería,Nissan,Leaf,2025,160,Ultra Rápida,2023-03-09,8.1.5,Sí
Leoncio del Ríos,26,Murcia,Ford,F-150 Lightning,2023,172,Rápida,2025-04-19,2.1.6,No
Laura Caro Arco,64,Girona,Tesla,Model Y,2018,201,Lenta,2025-03-15,4.7.8,No
Joaquina Franch Lamas,61,Murcia,Kia,EV6,2019,560,Ultra Rápida,2023-07-14,8.0.2,Sí
Roberto Gabaldón Pallarès,34,Teruel,Nissan,Ariya,2019,313,Lenta,2024-12-23,6.2.4,No
Virgilio Pastor,19,Navarra,BMW,i4,2023,374,Lenta,2024-11-05,1.9.2,Sí
Dora Sotelo Saura,22,Cáceres,Nissan,Ariya,2024,529,Rápida,2023-01-08,9.9.3,Sí
Marcia Catalá Saavedra,52,Toledo,Nissan,Ariya,2024,251,Ultra Rápida,2023-05-16,1.7.9,No
Bárbara Duran-Batalla,58,Toledo,Chevrolet,Bolt EUV,2018,567,Lenta,2023-11-01,4.6.1,Sí
Samanta Sanmiguel Giménez,68,Teruel,Chevrolet,Bolt EUV,2022,290,Lenta,2023-12-06,10.7.2,Sí
Celestino Gual Vera,30,Santa Cruz de Tenerife,Chevrolet,Bolt EV,2018,501,Lenta,2024-09-07,6.5.0,Sí
Glauco Lumbreras,22,Jaén,Volkswagen,ID.4,2019,431,Lenta,2023-07-25,10.6.8,No
Anselma Giménez-Gomila,66,Ourense,BMW,i3,2025,594,Lenta,2022-08-23,7.8.4,No
Isidoro Cazorla Páez,50,Valladolid,BMW,i4,2022,377,Lenta,2022-05-15,4.9.6,Sí
Isidora Solera Cortés,71,Cuenca,Ford,F-150 Lightning,2018,477,Ultra Rápida,2023-03-02,5.8.0,No
María Marí Cerezo,32,Madrid,Kia,EV6,2024,404,Rápida,2022-11-26,2.9.7,No
Nando Norberto Díaz Garcés,70,Lleida,Nissan,Ariya,2018,351,Ultra Rápida,2023-03-11,10.9.7,No
Eva María Seguí Rey,19,La Coruña,Kia,Niro EV,2021,281,Lenta,2023-03-12,1.3.2,No
Lourdes Alcalde Lillo,80,Albacete,Tesla,Model 3,2021,487,Rápida,2023-09-04,5.0.1,No
Genoveva de Marqués,21,León,Volkswagen,ID.4,2018,562,Lenta,2024-01-26,1.7.7,Sí
Trinidad Olivé Cervantes,53,Baleares,BMW,i3,2019,219,Ultra Rápida,2025-03-09,5.7.3,Sí
Norberto Conde Baquero,56,Ourense,Ford,Mustang Mach-E,2023,555,Lenta,2024-08-29,7.3.8,Sí
Rómulo Machado Nicolás,25,Las Palmas,Nissan,Ariya,2019,299,Rápida,2023-11-25,4.6.3,Sí
Mohamed Sosa-Pina,60,Sevilla,Audi,Q4 e-tron,2020,367,Rápida,2024-01-17,8.8.6,Sí
Cornelio Marí Arranz,63,Cádiz,Tesla,Model S,2024,359,Lenta,2023-02-23,6.6.5,Sí
Borja Folch-Juárez,58,Ciudad,Tesla,Model S,2021,238,Ultra Rápida,2023-08-25,2.0.8,No
Marina Tejada,49,Albacete,Kia,Niro EV,2020,175,Lenta,2023-01-10,4.1.4,Sí
Josefina Torralba,21,Vizcaya,BMW,i3,2018,246,Ultra Rápida,2023-06-27,6.3.6,No
Fabiana Lago,66,La Rioja,Nissan,Leaf,2022,586,Ultra Rápida,2025-03-15,9.8.3,Sí
Miguela Perea,47,La Coruña,Nissan,Leaf,2019,579,Lenta,2023-09-17,1.9.4,Sí
Irma Florencia Marcos Somoza,31,La Coruña,Kia,Niro EV,2019,272,Rápida,2025-02-09,10.5.1,No
Soledad Pera-Talavera,47,Málaga,BMW,i3,2025,452,Ultra Rápida,2025-03-18,1.7.7,Sí
Enrique Julián Aguilar Piñol,65,Álava,Tesla,Model X,2021,279,Ultra Rápida,2023-06-28,7.2.9,No
Lourdes Arnal Barral,49,Guipúzcoa,Ford,Mustang Mach-E,2020,494,Rápida,2023-12-28,3.5.5,No
Calixto Virgilio Abascal Saura,55,Valencia,Nissan,Leaf,2022,592,Lenta,2023-07-15,3.3.3,Sí
Fátima Quintero Baena,48,Huelva,BMW,i4,2022,444,Ultra Rápida,2025-03-01,9.7.5,No
Esther Lobo Maldonado,32,Barcelona,Chevrolet,Bolt EUV,2021,303,Rápida,2024-11-17,2.5.9,Sí
Román Moll,48,Zaragoza,Audi,e-tron,2020,481,Ultra Rápida,2023-02-26,6.2.3,No
Rodolfo Gámez,50,Girona,Audi,Q4 e-tron,2018,316,Ultra Rápida,2024-04-16,10.5.2,No
Tristán de Barriga,35,La Coruña,Nissan,Ariya,2020,187,Lenta,2024-11-10,6.1.7,No
Eligia Calderón Moll,42,Lleida,Audi,Q4 e-tron,2023,319,Lenta,2024-09-10,9.5.6,No
Evaristo Alcántara Guzmán,56,Baleares,BMW,i4,2018,584,Rápida,2022-09-29,3.9.6,Sí
María José Prada,70,Tarragona,Hyundai,Ioniq 5,2019,199,Lenta,2023-08-20,1.9.4,Sí
Dalila Villar Montero,52,Jaén,Chevrolet,Bolt EV,2019,455,Ultra Rápida,2022-05-01,10.7.6,No
Lola Iniesta Arnaiz,31,Badajoz,Hyundai,Kona Electric,2024,507,Ultra Rápida,2024-09-25,6.8.5,Sí
Francisco Jose Jimenez,59,Girona,Volkswagen,ID.4,2018,350,Ultra Rápida,2022-09-14,3.4.5,Sí
Encarna Sans Rocamora,67,Lugo,Ford,F-150 Lightning,2019,426,Rápida,2024-04-13,4.1.0,No
Esperanza del Dueñas,80,Burgos,Hyundai,Ioniq 5,2018,486,Rápida,2025-02-04,8.5.4,Sí
Rosalva de Fuente,41,Madrid,Tesla,Model 3,2024,417,Lenta,2023-07-16,5.3.6,No
Tatiana Nidia Juan Folch,19,Badajoz,Audi,Q4 e-tron,2025,375,Rápida,2022-09-15,10.0.7,No
Salud Milla Ugarte,25,Almería,BMW,iX,2020,402,Rápida,2023-04-11,7.1.8,Sí
Renata Berrocal Ramírez,80,Segovia,Chevrolet,Bolt EV,2020,272,Ultra Rápida,2024-06-20,2.9.4,No
Conrado del Alfonso,46,Pontevedra,Nissan,Ariya,2020,315,Lenta,2025-02-25,7.5.1,No
Ruth Adán Llobet,63,Pontevedra,Ford,F-150 Lightning,2022,256,Lenta,2024-11-23,2.9.8,No
Augusto Villegas Ayuso,50,Navarra,Volkswagen,ID.4,2021,528,Rápida,2023-03-03,8.1.6,No
Amaro Coello Losada,32,Cáceres,Chevrolet,Bolt EUV,2024,228,Lenta,2023-04-28,5.5.9,Sí
Aurelio Figueras,43,Ceuta,Tesla,Model X,2018,167,Ultra Rápida,2023-09-16,10.3.2,No
Augusto Montes Salamanca,29,León,Tesla,Model 3,2019,418,Ultra Rápida,2023-01-21,1.7.5,Sí
Marta de Infante,36,Toledo,Chevrolet,Bolt EUV,2019,349,Rápida,2024-05-28,7.3.4,No
Clarisa Montaña Solís,23,Badajoz,Ford,F-150 Lightning,2019,182,Rápida,2023-02-12,2.3.7,No
Jorge Moya Fábregas,37,Málaga,Nissan,Ariya,2020,361,Ultra Rápida,2024-04-29,3.1.9,Sí
Samuel Gimeno Mesa,20,Salamanca,Hyundai,Kona Electric,2025,298,Rápida,2024-05-20,5.9.3,Sí
Rosario Berrocal Beltrán,42,Soria,Hyundai,Ioniq 5,2021,222,Ultra Rápida,2023-05-02,4.4.3,Sí
Caridad Miranda-Fuster,72,Ourense,BMW,i3,2020,243,Rápida,2024-06-14,9.7.4,Sí
Prudencia Cabañas,30,Ávila,Nissan,Ariya,2022,158,Ultra Rápida,2022-08-21,4.3.6,No
América Natalia Pereira Feliu,67,Cuenca,BMW,i4,2024,434,Rápida,2023-01-08,7.4.6,Sí
Leyre Plana Barranco,20,Huelva,Audi,Q4 e-tron,2025,433,Lenta,2022-08-14,4.7.9,No
Lourdes Galán Mendizábal,68,Castellón,Hyundai,Ioniq 5,2020,524,Rápida,2023-01-14,9.8.5,Sí
Gloria Jover Fernandez,41,Valencia,Volkswagen,ID.4,2022,164,Ultra Rápida,2022-09-07,2.4.2,Sí
Ramón Cerdá Lucas,45,Castellón,Tesla,Model S,2018,244,Rápida,2024-07-15,8.2.4,Sí
Amparo Luciana Artigas Lladó,55,Sevilla,Tesla,Model 3,2025,288,Rápida,2023-09-28,6.6.8,Sí
Adora Mariscal Corbacho,33,Tarragona,Hyundai,Kona Electric,2025,162,Ultra Rápida,2024-04-23,10.8.0,Sí
Yago Matas,80,Barcelona,Volkswagen,ID.4,2018,218,Ultra Rápida,2023-05-25,8.2.6,Sí
Obdulia Acevedo Recio,21,Guipúzcoa,Ford,Mustang Mach-E,2021,532,Ultra Rápida,2025-04-12,4.4.9,Sí
Nando González-Molina,52,Málaga,Hyundai,Kona Electric,2019,456,Rápida,2024-01-15,6.0.7,No
Nieves Bru-Maldonado,53,Baleares,Ford,F-150 Lightning,2024,161,Lenta,2024-07-07,5.2.9,Sí
Lope Patiño Mariscal,68,Zaragoza,BMW,i4,2022,546,Lenta,2022-06-29,2.5.4,No
Adelina Apolonia Sacristán Garrido,76,Cuenca,Kia,EV6,2024,218,Ultra Rápida,2022-10-30,2.3.2,No
Augusto Gaya Aroca,67,Huesca,Audi,Q4 e-tron,2020,415,Ultra Rápida,2022-05-26,4.7.3,No
Samuel Guillen Lucena,22,Lugo,Volkswagen,ID.3,2018,346,Rápida,2024-06-18,3.8.3,No
Jimena Acero Bermúdez,45,Lleida,Ford,Mustang Mach-E,2022,239,Ultra Rápida,2024-02-04,8.1.4,No
Maribel Galan Salmerón,60,Santa Cruz de Tenerife,Kia,EV6,2018,259,Rápida,2023-12-07,7.4.7,No
Vito Tadeo Posada Álvarez,45,Baleares,Tesla,Model Y,2019,591,Rápida,2023-02-26,4.0.8,Sí
Inés Rivas Somoza,71,Valencia,Kia,Niro EV,2025,282,Ultra Rápida,2022-12-09,2.4.4,Sí
Eligia Tenorio Llorens,35,Ourense,Nissan,Ariya,2024,529,Rápida,2024-12-19,7.1.7,Sí
Tere Niño,37,Castellón,Tesla,Model X,2019,170,Rápida,2023-11-25,9.9.8,Sí
Patricio del Amo,35,León,BMW,i3,2023,389,Lenta,2023-11-29,10.3.1,No
Trinidad Amo Matas,73,Teruel,Tesla,Model Y,2020,316,Rápida,2025-01-12,4.5.2,Sí
Jorge Rocha Moll,57,Vizcaya,Kia,Niro EV,2019,553,Ultra Rápida,2025-02-20,2.2.8,No
Jacinto Isern Quiroga,73,Lleida,Volkswagen,ID.3,2021,471,Rápida,2023-04-11,10.5.9,No
Custodia Saavedra-Feliu,62,Guipúzcoa,Tesla,Model S,2020,183,Rápida,2023-10-05,1.5.6,No
Sebastián Giménez Castillo,46,Tarragona,Chevrolet,Bolt EV,2022,420,Rápida,2023-06-09,5.3.1,No
Melchor del Ortega,59,Huesca,Chevrolet,Bolt EUV,2018,598,Lenta,2022-11-22,5.2.0,Sí
Fidel Aranda Pérez,45,Huelva,Volkswagen,ID.4,2024,583,Lenta,2024-09-06,1.3.6,No
María Jesús Alcolea Palacio,78,Ávila,Nissan,Leaf,2022,523,Ultra Rápida,2023-12-08,2.0.0,No
Mohamed Ropero-Guillen,30,Toledo,Volkswagen,ID.3,2025,578,Ultra Rápida,2024-07-01,1.1.2,No
Marisela Heredia Alberola,38,Navarra,Kia,EV6,2018,187,Ultra Rápida,2023-04-13,2.6.7,No
Sebastian Galván Codina,23,León,Hyundai,Kona Electric,2023,504,Ultra Rápida,2022-12-13,9.1.5,Sí
Eliseo Verdú Bastida,35,Baleares,Nissan,Ariya,2018,351,Ultra Rápida,2022-12-03,6.4.8,Sí
Victoriano Marciano Perez Yuste,42,Sevilla,Kia,Niro EV,2018,597,Lenta,2022-08-23,2.3.5,No
Jose Antonio Rivas Pedrero,26,Ourense,Volkswagen,ID.4,2018,319,Lenta,2022-04-30,9.3.7,No
Lola Barba Peláez,67,Málaga,Chevrolet,Bolt EUV,2019,300,Rápida,2023-06-24,6.8.6,Sí
Ale Serna Manrique,65,Granada,Chevrolet,Bolt EV,2019,528,Rápida,2023-07-29,1.6.2,No
Luz Montero-Castelló,24,Soria,Nissan,Leaf,2022,329,Ultra Rápida,2022-10-05,8.1.9,Sí
Saturnina Bolaños Bustamante,23,Álava,BMW,i3,2018,290,Lenta,2024-02-23,5.7.4,Sí
Pelayo Lluch Ojeda,35,Teruel,Chevrolet,Bolt EUV,2023,448,Rápida,2022-05-06,6.6.0,Sí
Encarna Borrell Catalá,60,Albacete,Kia,Niro EV,2020,473,Ultra Rápida,2022-10-11,2.6.5,Sí
Andrés Felipe Peñalver Espejo,56,Ciudad,Audi,e-tron,2018,428,Ultra Rápida,2024-07-14,7.5.0,No
